City,State,Zip input,Miles,Roundtrip miles,RPM,Base rate,Fuel (32%),Linehaul + FSC
PINON HILLS,CA,92372,86,172,3.219257541,553.712297,177.187935,730.900232
LONG BEACH,CA,90803,86.1,172.2,3.219257541,554.3561485,177.3939675,731.750116
SCOTIA,CA,95565,86.1,172.2,3.219257541,554.3561485,177.3939675,731.750116
LANCASTER,CA,93534,86.8,173.6,3.219257541,558.863109,178.8361949,737.6993039
YOUNGTOWN,AZ,85363,88.4,176.8,3.132054176,553.7471783,177.1990971,730.9462754
NEWBERRY SPRINGS,CA,92365,88.4,176.8,3.132054176,553.7471783,177.1990971,730.9462754
SAN YSIDRO,CA,92173,88.5,177,3.132054176,554.3735892,177.3995485,731.7731377
OXNARD,CA,93036,88.5,177,3.132054176,554.3735892,177.3995485,731.7731377
RIMFOREST,CA,92378,88.6,177.2,3.132054176,555,177.6,732.6
OCEANSIDE,CA,92054,88.7,177.4,3.132054176,555.6264108,177.8004515,733.4268623
VENTURA,CA,93001,88.7,177.4,3.132054176,555.6264108,177.8004515,733.4268623
HYDESVILLE,CA,95547,89.3,178.6,3.110986547,555.6221973,177.7991031,733.4213004
HOMELAND,CA,92548,89.4,178.8,3.104026846,555,177.6,732.6
OCEANSIDE,CA,92058,89.9,179.8,3.090200445,555.6180401,177.7977728,733.4158129
VENTURA,CA,93003,90.4,180.8,3.152654867,570,182.4,752.4
REEDLEY,CA,93654,90.8,181.6,3.152654867,572.5221239,183.2070796,755.7292035
LOMA LINDA,CA,92354,90.9,181.8,3.125,568.125,181.8,749.925
COVINA,CA,91722,91.3,182.6,3.121577218,570,182.4,752.4
VENTURA,CA,93003,91.3,182.6,3.121577218,570,182.4,752.4
VENTURA,CA,93004,91.4,182.8,3.114754098,569.3770492,182.2006557,751.5777049
PALM DESERT,CA,92260,91.6,183.2,3.114754098,570.6229508,182.5993443,753.2222951
RIDGECREST,CA,93555,91.9,183.8,3.104575163,570.620915,182.5986928,753.2196078
CARPINTERIA,CA,93013,91.9,183.8,3.104575163,570.620915,182.5986928,753.2196078
MENIFEE,CA,92586,92,184,3.104575163,571.2418301,182.7973856,754.0392157
TECOPA,CA,92389,92,184,3.104575163,571.2418301,182.7973856,754.0392157
GRENADA,CA,96038,92.3,184.6,3.081081081,568.7675676,182.0056216,750.7731892
WRIGHTWOOD,CA,92397,93.2,186.4,3.064516129,571.2258065,182.7922581,754.0180645
CEDAR GLEN,CA,92321,93.2,186.4,3.064516129,571.2258065,182.7922581,754.0180645
CEDARPINES PARK,CA,92322,93.2,186.4,3.064516129,571.2258065,182.7922581,754.0180645
SAN DIEGO,CA,92129,93.7,187.4,3.03514377,568.7859425,182.0115016,750.7974441
SPRING VALLEY,CA,91977,93.7,187.4,3.03514377,568.7859425,182.0115016,750.7974441
YETTEM,CA,93670,94,188,3.02869288,569.3942614,182.2061637,751.6004251
